城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,静安,门店主推：低总价2房，大面积，适合一家人居住,https://sh.lianjia.com/ershoufang/107105854903.html,2室1厅,81.7平米,南 北,高楼层(共6层),精装,金纺小区,大宁, 499万,"61,078元/平",1996年建,9个月以前发布,37人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,南北通带南北双阳台，高区采光明亮，满五唯/一税费少,https://sh.lianjia.com/ershoufang/107106826286.html,2室2厅,107.59平米,南 北,高楼层(共26层),精装,盛源家豪城,大宁, 1180万,"109,676元/平",2008年建,3个月以前发布,21人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,中间位置/安静/中间楼层/无增值税/无个税/看房随时,https://sh.lianjia.com/ershoufang/107106231634.html,2室1厅,87.64平米,南,中楼层(共6层),简装,金纺小区,大宁, 575万,"65,610元/平",1996年建,7个月以前发布,14人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,大两房 户型方正+双卧朝南+分区明显+业主诚意,https://sh.lianjia.com/ershoufang/107106611561.html,2室2厅,88.84平米,南,高楼层(共6层),精装,八方花苑,大宁, 698万,"78,569元/平",1995年建,4个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,全明边套户型 中区楼层 婚房装修 采光好 满五年,https://sh.lianjia.com/ershoufang/107105403252.html,2室1厅,51.39平米,东 南 西 北,中楼层(共6层),精装,上工新村,大宁, 385万,"74,918元/平",1979年建,一年前发布,56人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,大宁品质标杆，纵享C位景观，电梯小高层，一梯三户,https://sh.lianjia.com/ershoufang/107106714528.html,3室2厅,116.68平米,南 北 东,中楼层(共14层),简装,惠龙公寓,大宁, 1028万,"88,105元/平",2000年建,4个月以前发布,30人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,新上架店长推荐/从未出租/售后公房无增值税/0.5%个税,https://sh.lianjia.com/ershoufang/107106150025.html,2室2厅,83.5平米,南,6层,简装,永乐苑,大宁, 735万,"88,024元/平",1998年建,7个月以前发布,35人关注,板楼、VR房源、房本满五年、随时看房
上海,静安,小区w一已加装电梯，大宁公园距离近，闹中取静采光佳,https://sh.lianjia.com/ershoufang/107106672136.html,2室2厅,91.22平米,南,6层,精装,芳沁苑,大宁, 755万,"82,767元/平",2000年建,4个月以前发布,36人关注,板楼、VR房源、房本满五年、随时看房
上海,静安,房东诚意出，南北通，视野采光无遮挡，二手买进税费低,https://sh.lianjia.com/ershoufang/107107047636.html,2室2厅,95.52平米,南 北,中楼层(共14层),简装,新梅共和城,大宁, 998万,"104,481元/平",2003年建,2个月以前发布,10人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,静安,电梯小高层+户型正气+诚意出售+钥匙在手,https://sh.lianjia.com/ershoufang/107107151150.html,3室2厅,125.03平米,南,中楼层(共9层),简装,歌林春天馨园,大宁, 1308万,"104,615元/平",2002年建,2个月以前发布,14人关注,板楼、VR房源、房本满五年、随时看房
上海,静安,满五仅一套 总价低 税少 业主诚心出售,https://sh.lianjia.com/ershoufang/107105585697.html,3室2厅,86.73平米,南 北,低楼层(共33层),简装,明园森林都市涵翠苑,大宁, 948万,"109,305元/平",2013年建,11个月以前发布,70人关注,塔楼、VR看装修、房本满五年、随时看房
上海,静安,慧芝湖2期 大阳台南北同3房 中间位置中高楼层 不临街,https://sh.lianjia.com/ershoufang/107106892658.html,3室2厅,138.82平米,南,中楼层(共32层),精装,慧芝湖花园（一二期）,大宁, 1699万,"122,389元/平",2009年建,3个月以前发布,34人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,单价10开头 小区从未有过的价格 诚意出售 看房方便,https://sh.lianjia.com/ershoufang/107107337033.html,2室2厅,107.03平米,南 北,低楼层(共33层) ,精装,静安府西区,大宁, 1080万,"100,907元/平",,1个月以前发布,33人关注,板楼、VR看装修、房本满两年、随时看房
上海,静安,买入686万差额税少，满五唯/一无个税，带地下产权车位,https://sh.lianjia.com/ershoufang/107106742724.html,2室2厅,106.38平米,南 北,中楼层(共26层),简装,盛源家豪城,大宁, 1090万,"102,463元/平",2008年建,4个月以前发布,17人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,全屋地暖，新风中Y空调，南北直通，房型正气，无缺角,https://sh.lianjia.com/ershoufang/107105486803.html,2室2厅,96.53平米,南 北,中楼层(共13层),精装,新梅共和城,大宁, 999万,"103,492元/平",2002年建,一年前发布,78人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,满五唯① 低总价 高层电梯房 纵览三件套,https://sh.lianjia.com/ershoufang/107104938619.html,1室1厅,72.99平米,南,高楼层(共25层),简装,金纺小区,大宁, 479万,"65,626元/平",1998年建,一年前发布,56人关注,塔楼、VR看装修、房本满五年、随时看房
上海,静安,2+1户型，1梯2户高得房率，边套采光视野好，精装税少,https://sh.lianjia.com/ershoufang/107106521523.html,2室2厅,81.91平米,南,7层,精装,宝联小区,大宁, 616万,"75,205元/平",1998年建,4个月以前发布,97人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,业主诚售】内环别墅区，密度低，小高层  得房率高,https://sh.lianjia.com/ershoufang/107105779098.html,4室2厅,136.67平米,南 北,高楼层(共14层),简装,上海滩大宁城(公寓),大宁, 1630万,"119,266元/平",2011年建,10个月以前发布,32人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,精装修，z央空调地暖南北通透全明大三房，诚意卖,https://sh.lianjia.com/ershoufang/107106632606.html,3室2厅,126.54平米,南 北,低楼层(共23层),精装,明园森林都市滴翠苑,大宁, 1200万,"94,832元/平",2007年建,4个月以前发布,39人关注,板楼、VR看装修、房本满两年、随时看房
上海,静安,总校+一手动迁、税费少、满五、有车位,https://sh.lianjia.com/ershoufang/107107419129.html,2室1厅,61.94平米,东南,低楼层(共24层),简装,大宁龙盛雅苑,大宁, 650万,"104,941元/平",2012年建,27天以前发布,4人关注,板楼、近地铁、VR看装修、房本满五年
上海,静安,快乐家苑 3室2厅 南,https://sh.lianjia.com/ershoufang/107106693421.html,3室2厅,123.37平米,南,20层,精装,快乐家苑,大宁, 1000万,"81,057元/平",1999年建,4个月以前发布,2人关注,塔楼、近地铁、VR房源、房本满两年
