城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,虹口,公园傍 三开间朝南 单价只要6.7万 厨卫全明 配套齐全,https://sh.lianjia.com/ershoufang/107106050487.html,3室2厅,138.25平米,西南,高楼层(共24层),精装,兴华小区,鲁迅公园, 899万,"65,028元/平",1997年建,8个月以前发布,25人关注,塔楼、近地铁、VR房源、房本满五年
上海,虹口,看小区花园+全明南北通+近公园+近地铁站+业主诚意,https://sh.lianjia.com/ershoufang/107106533330.html,3室2厅,128平米,南,低楼层(共29层),精装,欧阳名邸,鲁迅公园, 1360万,"106,250元/平",2003年建,4个月以前发布,11人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,烫金地段3/8号线虹口足球场，鲁迅公园电梯两房,https://sh.lianjia.com/ershoufang/107103870010.html,2室1厅,71.32平米,西,低楼层(共19层),简装,金江公寓,鲁迅公园, 566万,"79,361元/平",1990年建,一年前发布,211人关注,塔楼、近地铁、VR看装修、房本满五年
上海,虹口,精装修+低楼层板房+一梯两户+品质小区,https://sh.lianjia.com/ershoufang/107106627152.html,2室2厅,84.18平米,南,低楼层(共7层),精装,虹口花苑,鲁迅公园, 705万,"83,750元/平",1997年建,4个月以前发布,30人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,95年3房，一梯两户，精装全明，诚意出售,https://sh.lianjia.com/ershoufang/107106607274.html,3室2厅,96.27平米,南,高楼层(共6层),精装,四平路421弄,鲁迅公园, 650万,"67,519元/平",1995年建,4个月以前发布,15人关注,板楼、VR看装修、房本满五年
上海,虹口,瑞虹旁+10号线地铁口+品质小区40%绿化人车分流+高区,https://sh.lianjia.com/ershoufang/107106779382.html,2室2厅,121.56平米,南 北,中楼层(共16层),精装,世博花园,鲁迅公园, 1390万,"114,347元/平",2004年建,3个月以前发布,9人关注,板楼、VR看装修、房本满五年
上海,虹口,业主已经看中新房，价格不要设限~有惊喜,https://sh.lianjia.com/ershoufang/107106563847.html,2室2厅,69.42平米,南,高楼层(共7层),简装,振大公寓,鲁迅公园, 480万,"69,145元/平",1997年建,4个月以前发布,12人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,一梯两户，正对花园，满五年，中高区采光视野好,https://sh.lianjia.com/ershoufang/107105918521.html,3室2厅,156.24平米,南 北,低楼层(共13层),简装,绿洲紫荆花园,鲁迅公园, 1350万,"86,406元/平",1998年建,9个月以前发布,18人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,品质小区，小区中间闹中取静，出行近地铁，,https://sh.lianjia.com/ershoufang/107105569897.html,3室2厅,139.78平米,南 北,高楼层(共25层),简装,世博花园,鲁迅公园, 1490万,"106,597元/平",2004年建,11个月以前发布,26人关注,板楼、VR房源、房本满五年
上海,虹口,一梯两户，正对花园，满五年，中高区采光视野好,https://sh.lianjia.com/ershoufang/107106321742.html,3室2厅,158.82平米,南,高楼层(共13层),精装,绿洲紫荆花园,鲁迅公园, 1480万,"93,188元/平",1998年建,6个月以前发布,17人关注,板楼、近地铁、VR看装修、房本满五年
